53	id=Ebp3Kg4SmgMC	Вицове за пиячи	на Антония Вирт, Георги Асьов и Красимир Георгиев	25.03.1994	09.07.2009
54	id=n4lXJY-05XYC	Вицове за ловци	на Стоян Гроздев, Красимир Георгиев и Георги Асьов	15.06.1994	09.07.2009
55	id=og5T_6nAY04C	Вицове за келнери	на Георги Асьов, Красимир Георгиев и Стоян Гроздев	15.05.1994	09.07.2009
56	id=CnAqLhoix5wC	Радин кладенец	на Иван Мешинков	30.05.2009	10.07.2009
57	id=sBRCEZr3EfwC	Вицове за луди	на Георги Асьов, Красимир Георгиев, Стоян Гроздев и Георги Братанов	15.09.1994	10.07.2009
58	id=NVcTZeqewY8C	Студеното сърце	на Вилхелм Хауф	25.01.1994	15.07.2009
59	id=764mJIjQ2-AC	Късметливата Неда	на Елза и Иван Стоянови	15.12.1994	15.07.2009
60	id=79AAceh2lUkC	Пратеникът на Петльовото гребенче	на Красимир Георгиев	05.10.1992	16.07.2009
61	id=pe7RDXn098EC	Гуньо Гъсков	на Райко Алексиев	20.09.1995	16.07.2009
62	id=yVpSS-ttYxIC	Весело букварче	на Кирил Назъров	15.07.1993	30.07.2009
63	id=VVUORJbF5FoC	Да стигнеш до звезда	на Борис Петров-Ботев	25.12.2005	30.07.2009
64	id=LsvK9kd_iJwC	Самодивата	на Слав Славов	30.10.1993	30.07.2009
65	id=3KxbDu5r-3wC	Вицове за обратни	на Красимир Георгиев	10.05.1998	05.08.2009
66	id=rSolMXOl_o0C	Вицове за доктори	на Ивелина Игнатова	25.12.1993	10.08.2009
67	id=w4A00P-IKKgC	Смей се, палачо!	на Радой Ралин	26.02.1994	10.08.2009
68	id=aTWLUo3Th4oC	Тестове за интелигентност	на Евгени Алексиев и Красимир Георгиев	15.08.2002	10.08.2009
69	id=PA-x1SAG0VkC	100 чуденки за чудене	на Кирил Назъров	30.01.1993	10.08.2009
70	id=7xu4AABkgWsC	Гатанки, броилки, въртележки	на Георги Струмски	17.01.1998	10.08.2009
71	id=7Kgu5RBD2h0C	Златна кобилка	на Георги Дренчев	20.06.1994	01.09.2009
72	id=23sI-HM1MwoC	Сага за самотници	на Красимир Георгиев	15.11.1995	01.09.2009
73	id=2hmdD-k_edwC	Вицове за студенти	на Красимир Георгиев	28.01.1998	01.09.2009
74	id=VBgxDaCKvQMC	Усмихнати цветя	на Станка Кръпчанска	10.09.2004	01.09.2009
75	id=7r35R0LRRD8C	Бог на сетивата	на Мирослава Панайотова Мисампа	10.11.2005	01.09.2009
76	id=eHVgkf1eAXIC	Етнографско изследване на с. Свобода (Алипашиново), Чирпанско	на Иванка Кънчева Мурджева Панчева	15.12.2007	01.09.2009
77	id=uCC9M0bBDg4C	Основи на счетоводството и счетоводство на строителството	на Виолета Македонска	25.08.2007	01.09.2009
78	id=3uEfR0bUDMQC	Пет минути любов	на Николета Керинска	10.01.1993	06.09.2009
79	id=2N9aMKnRApcC	Вицове за политици	на Георги Асьов и Красимир Георгиев	30.09.1994	08.09.2009
80	id=WQdNpppXIgoC	Невчесани мисли	на Станислав Йежи Лец	25.05.1993	10.09.2009
81	id=Ld6gPnfN-tsC	Второгласен път	на Алекси Тасев	15.09.1993	10.09.2009
82	id=RY5r8uUl4csC	Безплътна броня	на Румяна Иванова	20.12.1997	10.09.2009
83	id=xgAN9GYXaiEC	Място под слънцето	на Кънчо Атанасов	15.11.1996	11.09.2009
84	id=RUC07ls10S4C	Българските книжни пари	на Милчо Натов и Георги Ликов	15.02.1997	13.09.2009
85	id=zYnFSIn1HxoC	Ергосфера или лапидариум на феномените	на Евгени Алексиев и Красимир Георгиев	25.06.2002	20.10.2009
86	id=mGhyhpZOggIC	Двустишия на Красимир	на Красимир Георгиев	15.10.2010	17.09.2010
87	id=vfsALCGhYMMC	Росни капки	на Наталия Георгиева	15.01.2007	17.12.2010
88	id=Ee69CL4wJ-kC	Любовна лирика	на Ива Стаменова	12.04.2005	24.12.2010
89	id=pbXneO3jBVcC	Второто разпятие на Христос	на Валентин Стоев	05.02.2011	09.01.2011
90	id=qfsByWtzO90C	Ръкопис, който съществува	на Зоран Вучич	25.01.2011	09.01.2011
91	id=ioCLetyDPtAC	Вицове за лордове	на Георги Асьов	30.05.1995	12.03.2011
92	id=UEZaIJ92YmMC	Цветница	на Кирил Назъров	15.09.2004	14.03.2011
93	id=AYNVLjKUymEC	Lepidoptera	на Цветелина Манова	01.03.2011	25.03.2011
94	id=_okzOJd7nnIC	Фатален срок	на Майкъл Крайтън	15.11.2000	29.03.2011
95	id=9_kaTrCsgWoC	Закъсняла обич	на Иво Петрахилски	15.05.2005	06.04.2011
96	id=YuZ4pIKy0DcC	Притча за пшениченото зърно	на Иван Ангелов	25.06.2011	09.06.2011
97	id=7YlT6N0kfLAC	Жадни миражи	на Веселка Христова	08.07.2011	08.11.2011
98	id=OfTJEJpaJiIC	Очите на дъжда	на Божидара Димова	15.11.2011	21.01.2012
99	id=Wgcqfex85TAC	Моливия	на Ваная Тайя	10.06.2012	22.05.2012
100	id=F0HDTWT_LgwC	Поговорим о жизни и любви	на Александър Морозов	31.03.2012	04.08.2012
101	id=TP2SAAP15qcC	Друвосек. Одисеята на Георги Ганев в Съветския съюз	на Веселин Георгиев	15.02.2013	25.01.2013
102	id=Dcwum5tyoowC	Животът продължава	на Емил Рупел	15.04.2013	02.04.2013
103	id=URqAAwAAQBAJ	Мениджмънт на стреса в медицината	на Елиа Георгиева	07.05.2014	05.05.2014
104	id=EWRnBgAAQBAJ	План Амнезия+	на Иван Мешинков	15.02.2015	27.01.2015
105	id=e1HTCwAAQBAJ	Откраднати илюзии	на Веселка Стойнева	21.03.2016	15.05.2016
106	id=MC-yDAAAQBAJ	Песен за човека / Пiсня про людину	на Никола Вапцаров	10.06.2016	12.07.2016
107	id=YMFlDQAAQBAJ	В родината на Орфей / На родине Орфея	на Сергей Шелковий	08.08.2016	12.10.2016
108	id=8kUzDwAAQBAJ	Ксенофобията - стигматизиране на различните	на Дончо Градев и Александър Маринов	21.08.2017	06.09.2017
109	id=xSE-DwAAQBAJ	Пепелище	на Георги Ангелов	15.12.2017	20.11.2017
110	id=xyE-DwAAQBAJ	Солта на земята	на Георги Ангелов	15.12.2017	20.11.2017
